section,metric,value,note
"LISA class counts (all four, post-refit + post scipy fix)",AHP_vs_ML HL,304,
"LISA class counts (all four, post-refit + post scipy fix)",AHP_vs_ML LH,87,
"LISA class counts (all four, post-refit + post scipy fix)",AHP_vs_ML not_significant,4487,
"LISA class counts (all four, post-refit + post scipy fix)",NW_vs_ML HH,104,
"LISA class counts (all four, post-refit + post scipy fix)",NW_vs_ML LL,602,
"LISA class counts (all four, post-refit + post scipy fix)",NW_vs_ML HL,321,
"LISA class counts (all four, post-refit + post scipy fix)",NW_vs_ML LH,82,
"LISA class counts (all four, post-refit + post scipy fix)",NW_vs_ML not_significant,4927,
"LISA class counts (all four, post-refit + post scipy fix)",MLAHP_vs_MLNW HH,6,
"LISA class counts (all four, post-refit + post scipy fix)",MLAHP_vs_MLNW LL,470,
"LISA class counts (all four, post-refit + post scipy fix)",MLAHP_vs_MLNW HL,254,
"LISA class counts (all four, post-refit + post scipy fix)",MLAHP_vs_MLNW LH,98,
"LISA class counts (all four, post-refit + post scipy fix)",MLAHP_vs_MLNW not_significant,5208,
Disagreement synthesis + entropy crosstab (3-way),n_disagree=0 n_settlements,3948,
Disagreement synthesis + entropy crosstab (3-way),n_disagree=0 mean_entropy_AHP,0.4521,
Disagreement synthesis + entropy crosstab (3-way),n_disagree=0 std_entropy_AHP,0.1759,
Disagreement synthesis + entropy crosstab (3-way),"n_disagree=0 entropy class counts (low/medium/high, of 3948)",397/1646/1905,
Disagreement synthesis + entropy crosstab (3-way),n_disagree=1 n_settlements,792,
Disagreement synthesis + entropy crosstab (3-way),n_disagree=1 mean_entropy_AHP,0.5838,
Disagreement synthesis + entropy crosstab (3-way),n_disagree=1 std_entropy_AHP,0.0969,
Disagreement synthesis + entropy crosstab (3-way),"n_disagree=1 entropy class counts (low/medium/high, of 792)",0/130/662,
Disagreement synthesis + entropy crosstab (3-way),n_disagree=2 n_settlements,1234,
Disagreement synthesis + entropy crosstab (3-way),n_disagree=2 mean_entropy_AHP,0.617,
Disagreement synthesis + entropy crosstab (3-way),n_disagree=2 std_entropy_AHP,0.0867,
Disagreement synthesis + entropy crosstab (3-way),"n_disagree=2 entropy class counts (low/medium/high, of 1234)",0/112/1122,
Disagreement synthesis + entropy crosstab (3-way),n_disagree=3 n_settlements,62,
Disagreement synthesis + entropy crosstab (3-way),n_disagree=3 mean_entropy_AHP,0.6288,
Disagreement synthesis + entropy crosstab (3-way),n_disagree=3 std_entropy_AHP,0.0734,
Disagreement synthesis + entropy crosstab (3-way),"n_disagree=3 entropy class counts (low/medium/high, of 62)",0/4/58,
NW model R2 (post-refit),fold 1,0.8608,
NW model R2 (post-refit),fold 2,0.9192,
NW model R2 (post-refit),fold 3,0.8434,
NW model R2 (post-refit),fold 4,0.8895,
NW model R2 (post-refit),fold 5,0.7604,
NW model R2 (post-refit),mean,0.8547,
NW model R2 (post-refit),std (population),0.0537,
"AHP model R2 (sanity check, unchanged)",mean,0.8457,
"AHP model R2 (sanity check, unchanged)",std (population),0.0773,
"Feature importance by group (%, post-refit)",Distance -- AHP-target model,62.53,
"Feature importance by group (%, post-refit)",Distance -- NW-target model,69.16,
"Feature importance by group (%, post-refit)",GI_AHP -- AHP-target model,22.69,
"Feature importance by group (%, post-refit)",GI_AHP -- NW-target model,0.0,
"Feature importance by group (%, post-refit)",GI_NW -- AHP-target model,0.0,
"Feature importance by group (%, post-refit)",GI_NW -- NW-target model,17.99,
"Feature importance by group (%, post-refit)",Accessibility -- AHP-target model,7.19,
"Feature importance by group (%, post-refit)",Accessibility -- NW-target model,5.46,
"Feature importance by group (%, post-refit)",Individual GI indicators -- AHP-target model,6.84,
"Feature importance by group (%, post-refit)",Individual GI indicators -- NW-target model,5.0,
"Feature importance by group (%, post-refit)",Municipality area -- AHP-target model,0.75,
"Feature importance by group (%, post-refit)",Municipality area -- NW-target model,2.39,
RF(AHP-target) catchment size -- top 15,Ljubljana (rank 2),277,
RF(AHP-target) catchment size -- top 15,Novo mesto (rank 1),382,
RF(AHP-target) catchment size -- top 15,Maribor (rank 3),260,
RF(AHP-target) catchment size -- top 15,Ptuj (rank 14),119,
RF(AHP-target) catchment size -- top 15,Krško (rank 9),153,
RF(AHP-target) catchment size -- top 15,Črnomelj (rank 10),143,
RF(AHP-target) catchment size -- top 15,Celje (rank 5),200,
RF(AHP-target) catchment size -- top 15,Trebnje (rank 8),155,
RF(AHP-target) catchment size -- top 15,Brežice (rank 12),128,
RF(AHP-target) catchment size -- top 15,Koper (rank 16),116,
RF(AHP-target) catchment size -- top 15,Murska Sobota (rank 11),142,
RF(AHP-target) catchment size -- top 15,Ivančna Gorica (rank 14),119,
RF(AHP-target) catchment size -- top 15,Sevnica (rank 21),83,
RF(AHP-target) catchment size -- top 15,Slovenska Bistrica (rank 25),70,
RF(AHP-target) catchment size -- top 15,Šentjur (rank 18),95,
RF(NW-target) catchment size -- top 15,Novo mesto (rank 2),236,
RF(NW-target) catchment size -- top 15,Ljubljana (rank 1),270,
RF(NW-target) catchment size -- top 15,Maribor (rank 5),168,
RF(NW-target) catchment size -- top 15,Kamnik (rank 4),169,
RF(NW-target) catchment size -- top 15,Celje (rank 13),121,
RF(NW-target) catchment size -- top 15,Litija (rank 17),103,
RF(NW-target) catchment size -- top 15,Kranj (rank 10),139,
RF(NW-target) catchment size -- top 15,Trebnje (rank 6),165,
RF(NW-target) catchment size -- top 15,Krško (rank 8),156,
RF(NW-target) catchment size -- top 15,Črnomelj (rank 7),158,
RF(NW-target) catchment size -- top 15,Murska Sobota (rank 11),138,
RF(NW-target) catchment size -- top 15,Brežice (rank 12),125,
RF(NW-target) catchment size -- top 15,Kočevje (rank 20),91,
RF(NW-target) catchment size -- top 15,Ptuj (rank 3),202,
RF(NW-target) catchment size -- top 15,Ivančna Gorica (rank 9),144,
